ts,open,high,low,close,volume,quote_vol,trades,tbv,tbqv
1713312000000,63793.40000000,64499.00000000,59678.16000000,61277.37000000,50610.54509000,3128625247.47385340,2458327,24346.74671000,1506361259.70135830
1713398400000,61277.38000000,64117.09000000,60803.35000000,63470.08000000,43601.60918000,2726741448.88680220,2142511,20870.20705000,1305027167.93950820
1713484800000,63470.09000000,65450.00000000,59600.01000000,63818.01000000,69774.30271000,4419893235.18328730,2828284,34941.50216000,2214809735.24024150
1713571200000,63818.01000000,65419.00000000,63090.07000000,64940.59000000,23137.42975000,1486949581.43947920,1376712,11811.84440000,759077474.29729040
1713657600000,64940.58000000,65695.56000000,64237.50000000,64941.15000000,19316.42152000,1254396628.15317660,1390153,9734.71767000,632257865.00824990
1713744000000,64941.15000000,67232.35000000,64500.00000000,66819.32000000,31397.99371000,2071690434.97655200,1816591,16466.05497000,1086399264.60922710
1713830400000,66819.32000000,67183.01000000,65765.81000000,66414.00000000,22599.90004000,1502139968.71988170,1433915,10854.17402000,721404825.84704100
1713916800000,66414.00000000,67070.43000000,63606.06000000,64289.59000000,33595.69637000,2195714861.65765590,1784897,16899.50969000,1104368114.10586980
1714003200000,64289.58000000,65297.94000000,62794.00000000,64498.34000000,31341.46338000,2007704069.26227290,1375324,14808.62959000,948738136.26843800
1714089600000,64498.33000000,64820.01000000,63297.48000000,63770.01000000,27085.19346000,1736631357.35373870,1025561,13570.23647000,870093757.51889900
1714176000000,63770.00000000,63923.41000000,62391.24000000,63461.98000000,20933.06052000,1320337707.78711590,912422,9903.95325000,624733409.21128790
1714262400000,63461.98000000,64370.00000000,62781.00000000,63118.62000000,16949.20005000,1078450016.47322960,790652,7941.33811000,505261267.56950520
1714348800000,63118.62000000,64228.35000000,61765.53000000,63866.00000000,28150.22947000,1765038324.68372130,1152296,13986.59437000,877053322.30799690
1714435200000,63866.00000000,64734.00000000,59191.60000000,60672.00000000,54947.65535000,3372142467.43225250,1985671,26385.41614000,1620421850.57869910
1714521600000,60672.01000000,60841.63000000,56552.82000000,58364.97000000,81166.46823000,4705572361.74020020,2401089,38203.57377000,2213404278.59001090
1714608000000,58364.97000000,59625.00000000,56911.84000000,59060.61000000,47583.81961000,2778840305.05057860,1572898,23240.75370000,1356148775.88673650
1714694400000,59060.60000000,63333.00000000,58811.32000000,62882.01000000,43628.40143000,2658193708.34790420,1558661,22145.44334000,1349687455.59576090
1714780800000,62882.01000000,64540.00000000,62541.03000000,63892.04000000,24368.69282000,1547468697.87657970,1113509,12671.20599000,804768764.30625010
1714867200000,63892.03000000,64646.00000000,62822.17000000,64012.00000000,18526.75029000,1182572239.53061830,992921,8954.93439000,571783428.23947070
1714953600000,64012.00000000,65500.00000000,62700.00000000,63165.19000000,34674.91949000,2218131198.46613250,1392557,17179.56031000,1099303474.28052170
1715040000000,63165.18000000,64422.41000000,62261.00000000,62312.08000000,25598.79472000,1624531631.59237700,1272898,12502.38281000,793575994.21410250
1715126400000,62312.07000000,63020.22000000,60888.00000000,61193.03000000,26121.19004000,1623561041.12551880,1415152,12669.58179000,787749415.54808140
1715212800000,61193.03000000,63429.03000000,60630.00000000,63074.01000000,30660.80610000,1895849912.77347550,1381957,15120.01471000,935341755.67823540
1715299200000,63074.00000000,63469.13000000,60187.12000000,60799.99000000,36529.34025000,2255550468.41385220,1500643,18066.83174000,1116494638.28048920
1715385600000,60799.99000000,61515.00000000,60487.09000000,60825.99000000,13374.56936000,814928013.45732880,753281,6223.09555000,379263096.21513300
1715472000000,60825.99000000,61888.00000000,60610.00000000,61483.99000000,12753.13236000,781041632.46238350,727113,6416.91108000,393132351.88839250
1715558400000,61484.00000000,63450.00000000,60749.21000000,62940.08000000,32733.41839000,2041896626.61081470,1371433,16717.90863000,1043060982.35746010
1715644800000,62940.09000000,63118.36000000,61142.77000000,61577.49000000,29088.72041000,1800171876.16766540,1127939,13815.81443000,855088066.21248800
1715731200000,61577.49000000,66444.16000000,61319.47000000,66206.50000000,43559.74719000,2794259631.89104640,1729454,21797.84094000,1398781701.44138860
1715817600000,66206.51000000,66752.01000000,64602.77000000,65235.21000000,31106.36710000,2045507646.82938490,1269793,15645.11263000,1028962305.10438390
1715904000000,65235.21000000,67451.20000000,65106.38000000,67024.00000000,26292.23409000,1745971822.34474550,1117254,13301.09525000,883129353.16334290
1715990400000,67024.00000000,67400.01000000,66600.00000000,66915.20000000,14441.25774000,967145944.68353170,734067,6911.13424000,462859253.58791080
1716076800000,66915.20000000,67700.00000000,65857.25000000,66274.01000000,18025.30409000,1204989222.87686860,823729,8692.17507000,581378180.33745970
1716163200000,66274.00000000,71515.56000000,66060.31000000,71446.62000000,50816.70110000,3485474763.75229410,1930939,26792.52994000,1839346667.54078900
1716249600000,71446.62000000,71979.00000000,69162.94000000,70148.34000000,49607.43360000,3509345769.23360780,2137448,24686.27911000,1746693652.32872200
1716336000000,70148.34000000,70666.00000000,68842.19000000,69166.62000000,27673.18026000,1931700812.30321440,1371973,13124.78731000,916344293.91047570
1716422400000,69166.62000000,70096.12000000,66312.16000000,67969.65000000,40513.17374000,2766790260.78860240,1827855,19791.15119000,1351640092.58136590
1716508800000,67969.66000000,69250.00000000,66600.12000000,68549.99000000,28095.83664000,1906438696.71560120,1165907,14344.29889000,973457354.69577570
1716595200000,68549.99000000,69610.00000000,68500.00000000,69290.57000000,12130.39418000,837339788.98389610,703803,5851.95991000,403954862.66947920
1716681600000,69290.56000000,69562.23000000,68128.01000000,68507.67000000,11872.11797000,818914878.99088980,722849,5934.62083000,409411078.54609240
1716768000000,68507.67000000,70687.56000000,68250.00000000,69436.43000000,23136.92737000,1604722197.83740280,1219341,11709.62174000,812172288.25763730
1716854400000,69436.43000000,69591.81000000,67277.91000000,68398.39000000,32622.97042000,2224860225.79922270,1459351,15543.09776000,1059920452.31461710
1716940800000,68398.40000000,68935.68000000,67124.65000000,67652.42000000,23159.83149000,1573095221.64839840,1221044,11748.55954000,797928379.36691790
1717027200000,67652.41000000,69500.00000000,67128.00000000,68352.17000000,28478.21840000,1945001081.52158660,1272851,14074.36655000,961595245.17878340
1717113600000,68352.17000000,69044.10000000,66670.00000000,67540.01000000,26690.32184000,1812659052.24967660,1177860,13258.10182000,900414200.11617690
1717200000000,67540.01000000,67900.00000000,67428.44000000,67766.85000000,8837.66133000,598305207.99320460,638484,4235.27045000,286752060.40289290
1717286400000,67766.84000000,68460.00000000,67257.47000000,67765.63000000,15426.32529000,1046827665.38293130,812348,7760.23377000,526768921.12622220
1717372800000,67765.62000000,70288.00000000,67612.48000000,68809.90000000,29633.37400000,2047757076.22683570,1253789,15308.67275000,1058024704.35337320
1717459200000,68809.89000000,71063.45000000,68567.32000000,70537.84000000,29619.78489000,2069902136.99324010,1254515,14922.96734000,1043071241.62848080
1717545600000,70537.83000000,71758.00000000,70383.66000000,71108.00000000,28703.18082000,2040073765.86763960,1055115,14210.23392000,1010053925.79108140
1717632000000,71108.00000000,71700.00000000,70117.64000000,70799.06000000,21842.00449000,1551467659.15429660,900226,10287.39110000,730849194.23039900
1717718400000,70799.06000000,71997.02000000,68420.00000000,69355.60000000,35598.45045000,2507250591.33297820,1516415,17318.78051000,1220810920.34443310
1717804800000,69355.60000000,69582.20000000,69168.02000000,69310.46000000,9773.82967000,678267390.53103880,714103,4772.23036000,331182466.90034250
1717891200000,69310.46000000,69857.14000000,69130.24000000,69648.14000000,9890.56709000,687344656.07255660,575583,4883.69296000,339405376.08154470
1717977600000,69648.15000000,70195.94000000,69172.29000000,69540.00000000,17122.66941000,1192466549.96912270,936731,8412.00246000,585909223.77581300
1718064000000,69540.00000000,69590.01000000,66051.00000000,67314.24000000,41436.01588000,2793799020.46912430,1782415,19839.82320000,1337254654.99899240
1718150400000,67314.23000000,69999.00000000,66905.00000000,68263.99000000,37175.32356000,2550285139.18437200,1670745,18975.89081000,1302069589.64168150
1718236800000,68263.98000000,68449.30000000,66251.78000000,66773.01000000,29079.55571000,1958897960.91729170,1518202,13886.14007000,935614189.69868110
1718323200000,66773.01000000,67370.24000000,65078.00000000,66043.99000000,28408.18797000,1884451554.42828490,1736314,13619.40861000,903708200.78497490
1718409600000,66043.99000000,66478.48000000,65857.10000000,66228.25000000,11451.80242000,758175888.02833720,700886,5495.02083000,363796116.45357520
1718496000000,66228.25000000,66998.70000000,66034.50000000,66676.87000000,9392.52223000,624653672.61385750,703295,4750.05166000,315940653.99261210
1718582400000,66676.86000000,67298.81000000,65130.00000000,66504.33000000,27386.16851000,1812061226.75656550,1542620,13716.89431000,907703353.53049530
1718668800000,66504.33000000,66588.23000000,64060.00000000,65175.32000000,42350.10244000,2755141806.03109010,2151711,20076.41361000,1305946733.58928080
1718755200000,65175.32000000,65727.54000000,64666.00000000,64974.37000000,20060.79576000,1307731953.95453160,1078458,10289.78180000,670875724.31372840
1718841600000,64974.37000000,66482.94000000,64559.15000000,64869.99000000,24265.29031000,1584896152.16637010,1282687,11828.87934000,772646071.21699650
1718928000000,64869.99000000,65066.66000000,63379.35000000,64143.56000000,25993.56442000,1665541539.70861590,1362617,12543.25960000,803462610.69190860
1719014400000,64143.56000000,64546.81000000,63943.82000000,64262.01000000,7308.95542000,470027247.34020830,562832,3756.29045000,241583895.45436180
1719100800000,64262.01000000,64521.00000000,63178.32000000,63210.01000000,8224.45447000,526848525.00294520,592759,3974.67964000,254685735.53387730
