ts,open,high,low,close,volume,quote_vol,trades,tbv,tbqv
1713312000000,63793.40000000,64295.00000000,63581.16000000,63842.02000000,4408.10123000,281544353.81975330,217400,2258.20569000,144243408.01278340
1713326400000,63842.03000000,64499.00000000,63181.81000000,63297.84000000,4770.84819000,304629910.53814670,301803,2454.14413000,156719498.78040110
1713340800000,63297.85000000,63587.88000000,62541.13000000,62595.04000000,4528.85730000,285904609.66554450,251323,2193.89539000,138511823.05742300
1713355200000,62595.04000000,62974.88000000,59888.00000000,60304.95000000,19701.56268000,1208064624.72101640,862749,8786.45906000,539140825.37727880
1713369600000,60304.95000000,61956.42000000,59678.16000000,61022.35000000,13090.32351000,796440442.66940360,581226,6508.81100000,396184598.55526970
1713384000000,61022.36000000,61763.07000000,60777.00000000,61277.37000000,4110.85218000,252041306.05998890,243826,2145.23144000,131561105.91820230
1713398400000,61277.38000000,62229.90000000,60939.92000000,61988.00000000,5112.05762000,314862206.27170640,256918,2551.62376000,157267062.69048880
1713412800000,61987.99000000,62075.46000000,60803.35000000,61178.08000000,5389.61634000,330723820.85887760,275925,2362.31989000,144961280.04726900
1713427200000,61178.08000000,63072.27000000,60864.00000000,62597.92000000,8854.03421000,549227118.42310360,372814,4745.03451000,294318148.68287080
1713441600000,62597.92000000,64117.09000000,61580.71000000,63498.70000000,13179.24657000,831524340.45266780,609560,6342.13860000,400273046.22596050
1713456000000,63498.69000000,63866.19000000,62310.03000000,63477.04000000,7383.52292000,466614596.25295540,408857,3398.06276000,214817925.30489100
1713470400000,63477.04000000,63825.74000000,63162.77000000,63470.08000000,3683.13152000,233789366.62749140,218437,1471.02753000,93389704.98802810
1713484800000,63470.09000000,63470.09000000,59600.01000000,61785.14000000,18924.46633000,1158661421.11100020,665148,8933.99120000,547170406.50179360
1713499200000,61785.14000000,65179.00000000,61739.68000000,64547.18000000,16300.50420000,1033938476.39768130,592522,8594.55888000,545080823.65756830
1713513600000,64547.18000000,65450.00000000,64098.13000000,64870.74000000,10760.55037000,697131226.51626810,432711,5506.04858000,356749170.89496940
1713528000000,64870.73000000,65440.57000000,63820.57000000,64437.17000000,10695.68779000,692047710.94616840,454130,5257.32962000,340123611.16767600
1713542400000,64437.18000000,64808.54000000,63506.57000000,64325.25000000,7338.37595000,470856106.82127290,361756,3741.44897000,240108839.82982050
1713556800000,64325.26000000,64494.03000000,62953.90000000,63818.01000000,5754.71807000,367258293.39089640,322017,2908.12491000,185576883.18841370
1713571200000,63818.01000000,64263.41000000,63090.07000000,63956.00000000,4907.95296000,312654533.02695100,274150,2669.36797000,170058674.93046670
1713585600000,63956.01000000,64268.58000000,63815.53000000,63961.22000000,2687.98622000,172244647.92977530,150007,1325.69746000,84963788.56454010
1713600000000,63961.22000000,63988.00000000,63277.00000000,63707.17000000,3210.87149000,204366905.31668700,198290,1533.39545000,97603722.85805180
1713614400000,63707.18000000,64960.37000000,63575.83000000,64808.35000000,3733.80603000,239571462.67929380,249833,2024.64549000,129978466.46662690
1713628800000,64808.35000000,65419.00000000,64456.54000000,64866.44000000,6438.03660000,418296263.87708950,349907,3174.49333000,206243366.85449980
1713643200000,64866.45000000,65031.25000000,64555.00000000,64940.59000000,2158.77645000,139815768.60968260,154525,1084.24470000,70229454.62310510
1713657600000,64940.58000000,65695.56000000,64608.00000000,65170.00000000,3453.01051000,225019524.68880150,215542,1876.37298000,122284601.96898060
1713672000000,65170.01000000,65244.65000000,64843.98000000,65150.66000000,2641.24775000,171808623.96258130,187527,1220.99017000,79430662.39208080
1713686400000,65150.67000000,65440.95000000,64763.15000000,65234.01000000,3450.14128000,224423812.02521660,258179,1803.84516000,117364491.90139940
1713700800000,65234.02000000,65375.41000000,64778.69000000,65043.69000000,2695.60703000,175280350.71370030,235065,1294.09021000,84156387.28978010
1713715200000,65043.70000000,65087.92000000,64237.50000000,64538.00000000,4176.10130000,269824131.81789460,258140,2000.45981000,129237217.32836940
1713729600000,64538.00000000,65167.19000000,64362.50000000,64941.15000000,2900.31365000,188040184.94498230,235700,1538.95934000,99784504.12763960
1713744000000,64941.15000000,66090.69000000,64500.00000000,65703.50000000,7919.96299000,516820319.21716220,414404,4607.02097000,300847823.22820470
1713758400000,65703.49000000,66479.80000000,65509.24000000,65980.00000000,6098.37541000,402680986.99591790,365671,3184.40424000,210302480.68711810
1713772800000,65980.01000000,66204.44000000,65702.00000000,65877.47000000,3405.56870000,224690129.46025100,200390,1585.72974000,104629356.62010490
1713787200000,65877.47000000,66477.53000000,65626.87000000,65994.38000000,5461.41672000,360596553.56508520,336167,2668.20338000,176194084.57299150
1713801600000,65994.39000000,66824.28000000,65913.52000000,66524.77000000,4574.61291000,303841747.13248200,285132,2306.48274000,153200374.28856240
1713816000000,66524.77000000,67232.35000000,66342.10000000,66819.32000000,3938.05698000,263060698.60565370,214827,2114.21390000,141225145.21224550
1713830400000,66819.32000000,67183.01000000,66419.55000000,66435.01000000,3243.03761000,216722593.91563630,183871,1476.76691000,98706072.09857890
1713844800000,66435.01000000,66646.00000000,66020.00000000,66099.79000000,3505.25680000,232618243.15332070,205275,1578.12047000,104738741.50264240
1713859200000,66099.79000000,66310.44000000,65852.35000000,66043.99000000,3664.65129000,242291121.90685930,235692,1874.66447000,123949130.03967660
1713873600000,66043.99000000,67130.00000000,65765.81000000,66419.56000000,7336.45218000,487992398.60801480,418466,3580.89981000,238162537.78659780
1713888000000,66419.56000000,66905.99000000,66350.91000000,66484.43000000,2615.80021000,174391881.63215760,217243,1289.61293000,85976547.64118650
1713902400000,66484.43000000,66484.96000000,65980.00000000,66414.00000000,2234.70195000,148123729.50389300,173368,1054.10943000,69871796.77835880
1713916800000,66414.00000000,66900.00000000,66390.00000000,66608.14000000,3046.35629000,203006603.74459890,199335,1454.28279000,96909362.77995530
1713931200000,66608.14000000,67070.43000000,66552.37000000,66630.90000000,3233.87893000,215978545.20948790,257815,1784.52210000,119186207.57540050
1713945600000,66630.89000000,66743.01000000,66203.05000000,66571.52000000,3109.38742000,206678231.81166880,188149,1541.49108000,102466561.69678860
1713960000000,66571.52000000,66737.00000000,64519.03000000,64610.11000000,11318.18882000,740750908.39058660,522727,5496.89937000,359622589.43919050
1713974400000,64610.10000000,65156.95000000,63736.70000000,63976.06000000,7661.71570000,494465916.28153500,388141,3881.80042000,250588385.02931130
1713988800000,63976.05000000,64447.91000000,63606.06000000,64289.59000000,5226.16921000,334834656.21977870,228730,2740.51393000,175595007.58522360
1714003200000,64289.58000000,64741.47000000,63860.00000000,64282.01000000,3701.42089000,238162620.01725480,196952,1764.44440000,113544853.95608790
1714017600000,64282.02000000,64397.78000000,63824.07000000,64017.99000000,2632.77055000,169003309.47067080,145467,1208.81163000,77612516.55464180
1714032000000,64017.99000000,64192.00000000,63337.25000000,63861.23000000,5784.37183000,368785546.59676840,241963,2814.05369000,179436886.83069460
