ts,open,high,low,close,volume,quote_vol,trades,tbv,tbqv
1713312000000,3084.21000000,3107.24000000,3076.42000000,3095.00000000,11839.29720000,36560303.11379200,32177,7039.84500000,21741551.93711400
1713315600000,3095.01000000,3096.29000000,3068.39000000,3091.94000000,13223.72380000,40771053.64632500,35168,7059.80660000,21768995.98984700
1713319200000,3091.94000000,3100.80000000,3072.97000000,3085.79000000,12134.72820000,37435641.39788400,32270,5778.52030000,17829972.05486600
1713322800000,3085.79000000,3096.29000000,3082.10000000,3095.61000000,7979.42730000,24657022.66624900,23154,4344.38750000,13424836.84229100
1713326400000,3095.60000000,3123.75000000,3085.54000000,3113.01000000,14146.69290000,43940318.33006500,37598,9087.34260000,28223146.41487500
1713330000000,3113.01000000,3120.13000000,3083.54000000,3089.53000000,14758.05270000,45784111.64896600,43498,7079.28720000,21971889.88665000
1713333600000,3089.53000000,3098.73000000,3080.76000000,3091.06000000,9775.43670000,30209156.64750300,35248,5031.02980000,15549259.16780500
1713337200000,3091.05000000,3094.42000000,3064.05000000,3076.60000000,14368.66590000,44223263.01903400,42613,6840.39830000,21055511.18920800
1713340800000,3076.60000000,3087.64000000,3067.05000000,3073.19000000,8601.31590000,26483734.27183300,29373,4207.14690000,12956183.29424500
1713344400000,3073.20000000,3087.34000000,3070.01000000,3079.39000000,7446.07390000,22937256.40006700,24153,3909.80890000,12043357.30263500
1713348000000,3079.39000000,3080.16000000,3053.67000000,3059.60000000,12859.05960000,39415980.19136700,43044,6044.39030000,18528881.52861400
1713351600000,3059.60000000,3073.00000000,3037.65000000,3040.20000000,16820.77720000,51360565.21208700,48372,8142.28570000,24858104.01912700
1713355200000,3040.19000000,3050.60000000,3015.42000000,3031.41000000,22478.97080000,68131021.16507400,65595,11508.28470000,34876555.46948400
1713358800000,3031.41000000,3063.65000000,3023.73000000,3043.38000000,22938.94800000,69836666.77247600,61757,11812.64800000,35956258.22127800
1713362400000,3043.38000000,3044.35000000,2942.60000000,2982.60000000,74576.36620000,222474440.28762500,188616,35143.82020000,104831095.75900500
1713366000000,2982.60000000,2993.37000000,2925.85000000,2946.80000000,65446.90210000,193301940.58730200,171326,31281.34660000,92394246.59139700
1713369600000,2946.79000000,2998.96000000,2914.47000000,2951.21000000,49927.97120000,147862151.61469400,105492,26399.56760000,78202531.94442300
1713373200000,2951.21000000,3007.47000000,2947.81000000,3002.34000000,20309.43880000,60515077.66579300,65232,11735.63030000,34962707.57861100
1713376800000,3002.35000000,3043.73000000,2997.43000000,3026.20000000,27593.82180000,83564377.44920700,74743,14550.70670000,44067062.13869800
1713380400000,3026.20000000,3026.60000000,2982.84000000,3001.60000000,15831.43510000,47581231.73509800,48244,7917.84960000,23796590.51857400
1713384000000,3001.59000000,3011.59000000,2964.35000000,2972.40000000,12744.98620000,38129766.10342100,39632,6213.59660000,18597135.50070400
1713387600000,2972.39000000,3014.91000000,2972.39000000,2998.98000000,14861.21210000,44525093.23434400,37799,8819.34340000,26415518.81098500
1713391200000,2998.99000000,3008.75000000,2986.66000000,3008.59000000,9995.53580000,29957018.89781300,28131,5858.42860000,17556947.99458400
1713394800000,3008.59000000,3014.11000000,2977.17000000,2985.41000000,11238.72670000,33596186.30013900,35169,5855.25480000,17498349.82740100
1713398400000,2985.41000000,2998.25000000,2950.98000000,2993.17000000,20103.43440000,59791303.43366400,56828,9957.61340000,29621520.17822100
1713402000000,2993.18000000,3011.33000000,2987.68000000,3003.89000000,14042.29960000,42138281.32429900,44032,7300.51220000,21909240.92914400
1713405600000,3003.90000000,3014.83000000,2991.23000000,3011.20000000,9175.89640000,27567225.44652200,34854,4846.40330000,14560732.70204500
1713409200000,3011.19000000,3035.08000000,3010.70000000,3025.68000000,14631.80090000,44270252.67869300,44349,8857.54460000,26796535.02960600
1713412800000,3025.67000000,3034.29000000,3008.11000000,3014.31000000,13001.41370000,39296465.74714600,37102,5403.10180000,16339918.63962800
1713416400000,3014.31000000,3021.74000000,2977.58000000,2984.10000000,13762.01700000,41341236.25908900,38965,6106.27810000,18345608.29001700
1713420000000,2984.11000000,2991.70000000,2956.60000000,2972.99000000,20463.85030000,60813816.03126700,45982,10219.39570000,30367706.78877300
1713423600000,2972.99000000,2988.89000000,2962.49000000,2975.20000000,12934.18480000,38501682.48464500,40554,7131.54960000,21232559.02750400
1713427200000,2975.19000000,2992.19000000,2954.01000000,2985.04000000,18860.65330000,56112440.67750200,64537,9903.63990000,29463252.98103500
1713430800000,2985.04000000,3010.58000000,2982.60000000,3007.62000000,17960.94580000,53860227.51934000,50593,10557.34110000,31658908.38159100
1713434400000,3007.62000000,3015.32000000,2997.60000000,3011.07000000,11852.54340000,35622763.75191700,40650,6432.92070000,19334007.48673300
1713438000000,3011.07000000,3065.56000000,3010.06000000,3046.46000000,30045.84960000,91548840.03595900,78493,17249.49960000,52565064.85930200
1713441600000,3046.45000000,3052.19000000,2985.69000000,3024.98000000,24444.52270000,73760922.69381100,67143,12106.22930000,36529319.06166800
1713445200000,3024.99000000,3051.00000000,3008.39000000,3049.26000000,21038.55890000,63738783.42265700,59278,11886.74780000,36019531.10575400
1713448800000,3049.25000000,3093.33000000,3035.86000000,3080.15000000,36651.52810000,112654843.14145400,101135,19575.99870000,60167382.13599900
1713452400000,3080.14000000,3094.40000000,3056.48000000,3069.17000000,25935.16270000,79611714.02811200,63975,13594.40060000,41726253.34975900
1713456000000,3069.17000000,3083.54000000,3055.99000000,3061.69000000,18853.78190000,57838852.09619300,66470,11072.50160000,33971683.91537900
1713459600000,3061.68000000,3071.12000000,3032.03000000,3037.62000000,16056.65140000,48974086.90764400,46030,7627.36760000,23270144.64190300
1713463200000,3037.61000000,3057.63000000,3018.20000000,3051.60000000,15234.71650000,46292350.87621400,45533,7374.62850000,22408762.44188600
1713466800000,3051.60000000,3066.90000000,3049.50000000,3064.19000000,10218.06520000,31265401.36158800,41204,5752.94750000,17602482.25514300
1713470400000,3064.19000000,3075.00000000,3057.80000000,3068.26000000,8137.02220000,24940901.94264600,34022,3922.63050000,12024115.47150400
1713474000000,3068.26000000,3075.00000000,3060.46000000,3065.61000000,4934.61640000,15143209.02798200,22367,2631.62430000,8076432.46758400
1713477600000,3065.61000000,3080.82000000,3056.10000000,3070.35000000,6603.28940000,20254377.46500700,26434,3458.26520000,10608800.91534600
1713481200000,3070.35000000,3078.05000000,3061.21000000,3064.40000000,4117.90870000,12637147.00478800,17724,2260.70870000,6938748.08497800
1713484800000,3064.40000000,3070.24000000,3040.81000000,3041.46000000,12566.84950000,38393886.46684300,38193,5956.93080000,18199891.26353700
1713488400000,3041.45000000,3044.55000000,2927.51000000,2941.96000000,58922.61980000,175146189.14060100,116996,26201.47770000,77853007.53606800
1713492000000,2941.96000000,2948.74000000,2865.18000000,2943.79000000,82321.24920000,238970715.53075900,145892,38322.67970000,111251091.08167100
1713495600000,2943.80000000,3000.63000000,2936.47000000,2979.80000000,46395.17960000,137872944.43746600,92497,25488.07750000,75752300.95825100
1713499200000,2979.81000000,3024.64000000,2979.00000000,3005.68000000,27262.20820000,81871732.64865500,66435,14461.13030000,43428755.27400100
1713502800000,3005.68000000,3016.41000000,2980.93000000,3000.81000000,18228.22150000,54676242.25804100,42829,8777.15190000,26333697.49826100
1713506400000,3000.81000000,3110.00000000,2989.57000000,3103.84000000,51009.07700000,155885305.06811700,96342,28596.76480000,87337726.23231800
1713510000000,3103.83000000,3128.89000000,3067.51000000,3084.41000000,42581.83990000,131858044.76134900,89043,22110.62770000,68453561.45385200
1713513600000,3084.41000000,3124.44000000,3077.19000000,3111.47000000,34205.98090000,106087560.59666400,80962,17450.71240000,54128722.91464600
1713517200000,3111.48000000,3118.04000000,3093.02000000,3102.71000000,12193.16060000,37838888.82108600,38065,6117.01700000,18984971.24314500
1713520800000,3102.72000000,3117.49000000,3082.37000000,3098.08000000,14677.20550000,45457955.68793700,42581,7105.13780000,22016345.63662200
1713524400000,3098.08000000,3119.25000000,3092.30000000,3102.61000000,18566.52140000,57657141.41467500,49454,9025.65400000,28029610.77745600
1713528000000,3102.60000000,3121.00000000,3090.47000000,3099.68000000,18808.26250000,58424297.16911000,53829,9696.50790000,30124887.76421900
1713531600000,3099.68000000,3107.54000000,3080.10000000,3098.24000000,20134.91960000,62290808.88424900,66357,9966.32270000,30831701.03296800
1713535200000,3098.24000000,3103.00000000,3054.35000000,3080.34000000,22460.56390000,69172264.70439000,72287,11069.56280000,34094619.03918400
1713538800000,3080.34000000,3094.36000000,3074.68000000,3080.74000000,13215.95750000,40777603.02425700,44480,7973.21820000,24605141.07550700
1713542400000,3080.73000000,3086.78000000,3029.72000000,3065.76000000,26070.98050000,79771484.19847700,65226,13101.83950000,40103773.44191300
1713546000000,3065.76000000,3093.16000000,3058.12000000,3080.46000000,13643.33720000,41958373.03552000,41971,7528.22590000,23150651.33517900
1713549600000,3080.46000000,3084.89000000,3069.63000000,3076.73000000,10156.59530000,31251208.96485900,30037,5834.86830000,17955718.99810100
1713553200000,3076.73000000,3107.94000000,3072.63000000,3104.10000000,10689.50560000,33029430.21918800,35697,6404.73990000,19788564.05968300
1713556800000,3104.10000000,3104.15000000,3071.14000000,3078.33000000,9378.80580000,28933939.46749700,33694,4791.39820000,14780245.85892400
1713560400000,3078.32000000,3102.07000000,3078.32000000,3100.25000000,5945.90070000,18387301.50644700,22525,3352.73530000,10369252.59278400
1713564000000,3100.25000000,3105.68000000,3069.27000000,3069.84000000,10199.04560000,31502886.01129500,31144,4517.62690000,13960041.17841200
1713567600000,3069.84000000,3072.64000000,3020.63000000,3056.46000000,28216.41460000,85903078.75206700,69365,14049.77020000,42767214.15088700
1713571200000,3056.45000000,3070.80000000,3023.77000000,3030.53000000,19102.74660000,58199280.04196400,54258,8791.83360000,26791200.26320000
1713574800000,3030.52000000,3057.85000000,3018.75000000,3051.20000000,11892.87860000,36108633.66649800,34210,6024.03570000,18295648.98715200
1713578400000,3051.19000000,3065.75000000,3046.18000000,3053.99000000,6637.75980000,20282905.27757200,24625,2909.53630000,8891558.21105000
1713582000000,3054.00000000,3058.75000000,3050.07000000,3055.99000000,4550.78010000,13894159.60736200,19228,2102.31750000,6418474.74933900
1713585600000,3055.99000000,3068.34000000,3049.31000000,3064.92000000,8357.02920000,25569580.60464100,30784,4770.64040000,14599795.62952500
1713589200000,3064.92000000,3070.18000000,3057.63000000,3063.40000000,5566.45510000,17055097.31085200,24703,2476.51760000,7587517.33816400
1713592800000,3063.41000000,3070.75000000,3054.43000000,3065.15000000,7043.54620000,21571277.98793000,22767,3443.27320000,10544953.08463200
1713596400000,3065.14000000,3071.03000000,3058.72000000,3060.64000000,6851.03600000,20987448.53389100,25679,4230.54270000,12959662.62192400
1713600000000,3060.64000000,3061.29000000,3044.37000000,3049.60000000,7967.25880000,24315978.92644900,28496,4090.99550000,12487066.69789900
1713603600000,3049.59000000,3051.30000000,3029.99000000,3043.79000000,9445.19160000,28697324.17057800,38560,3987.21720000,12115386.72321100
1713607200000,3043.79000000,3050.00000000,3031.08000000,3037.99000000,7801.11690000,23712937.28215800,34080,3776.43790000,11479280.90479000
1713610800000,3038.00000000,3054.97000000,3037.76000000,3047.39000000,6363.29220000,19401995.58013200,25206,3240.94490000,9882078.77630500
1713614400000,3047.38000000,3067.87000000,3040.34000000,3059.45000000,9408.63280000,28745373.17150300,32599,5919.63980000,18089991.18653700
1713618000000,3059.44000000,3069.94000000,3058.98000000,3061.61000000,5991.73490000,18353240.93307500,23351,3287.81780000,10072112.16385200
1713621600000,3061.62000000,3068.85000000,3054.13000000,3065.94000000,7073.39150000,21659804.47514300,23358,3910.27120000,11975025.38736600
1713625200000,3065.95000000,3114.60000000,3056.59000000,3109.86000000,18632.99650000,57616088.91566200,58225,10774.18430000,33317369.43454100
1713628800000,3109.86000000,3116.42000000,3087.66000000,3098.99000000,15985.83900000,49563294.17330300,51686,7562.16360000,23450906.43840900
1713632400000,3099.00000000,3166.46000000,3098.99000000,3154.29000000,27163.94820000,85213737.08124700,79099,14574.14560000,45708589.54520700
1713636000000,3154.28000000,3161.59000000,3133.33000000,3139.19000000,12415.90890000,39065095.57648900,43403,5378.99870000,16924486.56922100
1713639600000,3139.20000000,3150.68000000,3127.00000000,3148.21000000,8883.12340000,27892129.06454800,28888,4682.85000000,14708503.27499200
