ts,open,high,low,close,volume,quote_vol,trades,tbv,tbqv
1713312000000,136.21000000,142.77000000,126.87000000,131.84000000,9559485.27000000,1287664513.08000000,1498645,4804193.51000000,647502610.86850000
1713398400000,131.84000000,144.25000000,127.62000000,142.07000000,7805067.82000000,1057713479.81530000,1213277,3940768.89000000,534497873.86310000
1713484800000,142.08000000,147.49000000,128.50000000,142.50000000,11145361.53000000,1564359376.95300000,1717920,5553882.00000000,779761189.24500000
1713571200000,142.50000000,152.39000000,139.66000000,151.22000000,4855973.67000000,705680673.94510000,796179,2482978.78000000,361525875.71620000
1713657600000,151.21000000,153.50000000,146.68000000,148.80000000,3646801.53000000,546975842.84480000,600110,1849078.61000000,277505219.99980000
1713744000000,148.81000000,158.50000000,146.63000000,156.95000000,4967360.16000000,760453706.31630000,804446,2538192.64000000,388603965.85410000
1713830400000,156.94000000,160.00000000,153.04000000,154.75000000,4102272.11000000,641853097.13330000,683700,1995499.95000000,312299705.27660000
1713916800000,154.75000000,159.80000000,145.58000000,147.78000000,6491963.00000000,1000742354.25040000,1056785,3201516.61000000,493661732.58850000
1714003200000,147.79000000,149.60000000,142.09000000,144.84000000,5417465.27000000,792818208.05240000,783470,2725440.80000000,399157214.56900000
1714089600000,144.83000000,146.19000000,138.74000000,139.23000000,3749353.51000000,536537208.98170000,616776,1873287.46000000,268157359.44080000
1714176000000,139.23000000,143.04000000,132.88000000,141.31000000,3821061.91000000,527111064.54100000,569425,1941664.04000000,268043582.01900000
1714262400000,141.31000000,144.82000000,137.03000000,137.99000000,2951913.56000000,420263449.81820000,438504,1514437.30000000,215712798.49270000
1714348800000,137.99000000,138.93000000,133.38000000,137.77000000,4267883.49700000,578946009.02877000,616036,2127631.41500000,288669890.40778000
1714435200000,137.79000000,139.77000000,121.21000000,126.77000000,6026555.48800000,780739771.36254000,989314,2987508.79700000,386735089.12854000
1714521600000,126.76000000,135.97000000,118.47000000,134.64000000,7991325.27100000,1008351786.04678000,1235535,3938878.19200000,497179952.79072000
1714608000000,134.64000000,140.90000000,128.19000000,137.58000000,5743465.62100000,775239966.24235000,881829,2943514.87500000,397167316.91660000
1714694400000,137.58000000,145.00000000,135.88000000,143.69000000,4524855.55600000,636701248.97452000,758139,2366846.22200000,333289355.47610000
1714780800000,143.70000000,149.14000000,142.22000000,146.05000000,2808003.24000000,409395252.13994000,500318,1391174.62900000,202858273.57945000
1714867200000,146.05000000,148.00000000,143.10000000,145.73000000,2131850.26300000,310504070.39615000,396560,1071042.34900000,156017239.58385000
1714953600000,145.74000000,156.89000000,145.40000000,152.82000000,4787441.56700000,729944626.53061000,854076,2483641.38600000,378747053.97158000
1715040000000,152.81000000,159.19000000,147.76000000,148.03000000,4486379.59600000,692683918.35024000,792273,2168235.51600000,334963759.90497000
1715126400000,148.03000000,152.00000000,140.00000000,142.18000000,4533265.34100000,661888498.59383000,756740,2235967.24500000,326687343.96879000
1715212800000,142.17000000,153.39000000,140.61000000,152.57000000,3912139.90800000,571152033.41234000,692980,2021207.01800000,295348770.47660000
1715299200000,152.56000000,155.75000000,144.49000000,146.01000000,4124775.20800000,618548257.76221000,802880,2015043.15900000,302574173.47716000
1715385600000,146.02000000,147.70000000,143.12000000,145.42000000,2017032.81400000,292868240.91002000,401566,978475.25700000,142069060.09327000
1715472000000,145.42000000,147.80000000,142.50000000,143.43000000,1422547.62700000,206518187.54230000,309808,701712.34700000,101909366.36553000
1715558400000,143.42000000,150.88000000,137.78000000,147.54000000,4407929.92300000,636617019.96036000,766364,2207828.06500000,319261761.61100000
1715644800000,147.53000000,149.09000000,141.82000000,142.03000000,3389933.37100000,491650914.90056000,573013,1661272.78300000,240956768.40404000
1715731200000,142.03000000,158.88000000,141.21000000,158.52000000,4885274.20300000,734214270.26841000,749405,2621799.98400000,394299721.32109000
1715817600000,158.52000000,164.79000000,156.46000000,159.37000000,4200112.76500000,675510074.16727000,763259,2104140.95100000,338488293.36262000
1715904000000,159.36000000,174.00000000,159.32000000,169.44000000,4097186.84100000,682669638.66178000,728905,2174941.22900000,362595129.48387000
1715990400000,169.43000000,176.06000000,168.65000000,172.40000000,2874473.99700000,496940232.56438000,577304,1439363.47300000,248933881.95271000
1716076800000,172.40000000,175.50000000,165.96000000,169.93000000,2696984.07400000,460508285.32582000,502213,1366743.73400000,233400153.02211000
1716163200000,169.93000000,188.32000000,167.47000000,186.70000000,5690568.99800000,1022051849.66920000,1057452,2986607.02000000,536993614.54321000
1716249600000,186.69000000,188.89000000,174.37000000,178.15000000,4727780.06400000,854999395.09577000,877587,2268072.49200000,409997168.25251000
1716336000000,178.15000000,185.00000000,174.96000000,176.95000000,4272900.12700000,766148690.37294000,850875,2219424.67100000,398102279.96942000
1716422400000,176.96000000,181.04000000,165.35000000,176.16000000,5598921.63000000,977277434.41105000,1037830,2906972.60600000,507396382.66246000
1716508800000,176.15000000,176.15000000,162.50000000,167.70000000,4819660.64200000,810028558.31071000,856617,2592690.35600000,436172660.90261000
1716595200000,167.70000000,170.55000000,165.90000000,168.35000000,1911443.13500000,321691312.78369000,405433,913344.72000000,153729295.90633000
1716681600000,168.35000000,168.40000000,161.00000000,163.41000000,3126117.98900000,512894771.41766000,537560,1562641.60000000,256365632.27850000
1716768000000,163.42000000,172.28000000,163.26000000,170.15000000,3260017.05500000,547344142.94860000,591480,1688224.02500000,283304224.83869000
1716854400000,170.15000000,173.24000000,164.92000000,168.68000000,3779251.34300000,637522900.01295000,714064,1882025.78100000,317686800.53986000
1716940800000,168.68000000,173.93000000,167.00000000,168.32000000,2946277.29400000,500443628.71600000,607907,1436219.21300000,244129340.62543000
1717027200000,168.32000000,173.00000000,163.55000000,166.88000000,3307767.04700000,555770168.75021000,592495,1611989.88400000,271024192.23503000
1717113600000,166.88000000,170.94000000,163.67000000,165.65000000,2592736.38800000,432816352.94655000,476139,1258131.12000000,210094424.84781000
1717200000000,165.65000000,167.95000000,165.64000000,166.14000000,1070498.92800000,178824432.11781000,214954,511531.91600000,85454713.62660000
1717286400000,166.14000000,167.10000000,161.32000000,163.15000000,1669577.98600000,274722936.49486000,308808,853472.81800000,140434680.34189000
1717372800000,163.14000000,167.21000000,161.79000000,164.89000000,2378016.53200000,392561788.00562000,409680,1220237.42900000,201507197.73255000
1717459200000,164.90000000,171.87000000,164.31000000,171.78000000,2124954.01500000,356126382.83239000,384488,1139887.83600000,191094484.82293000
1717545600000,171.78000000,175.60000000,170.00000000,173.54000000,2560223.58900000,443704811.36120000,435543,1255151.76600000,217608237.78634000
1717632000000,173.55000000,174.40000000,167.51000000,170.15000000,2116238.23400000,363765530.70853000,360006,1034609.04000000,177964987.11729000
1717718400000,170.15000000,172.85000000,152.92000000,162.50000000,3538852.09100000,584574048.04206000,665965,1649973.73500000,272718584.42987000
1717804800000,162.51000000,163.78000000,157.37000000,157.83000000,1789882.65000000,287653524.77527000,338015,848013.14500000,136307543.21986000
1717891200000,157.83000000,163.04000000,156.52000000,162.12000000,1444905.00000000,231109362.89601000,268602,722609.29500000,115568027.13828000
1717977600000,162.12000000,163.18000000,157.46000000,159.05000000,1760276.95400000,281863612.18113000,349749,879124.82200000,140739984.30796000
1718064000000,159.04000000,159.75000000,145.20000000,149.31000000,3646582.77700000,554100633.37648000,736163,1724844.87800000,262110280.77715000
1718150400000,149.31000000,161.84000000,145.44000000,155.22000000,3851856.39400000,598161585.14139000,801266,1934368.62900000,300519079.06842000
1718236800000,155.21000000,155.21000000,146.03000000,147.29000000,2573289.11100000,385605225.31535000,552143,1231600.98500000,184543542.52355000
1718323200000,147.29000000,149.00000000,139.67000000,143.05000000,3183461.49300000,460357684.10748000,606662,1561425.61300000,225955519.82799000
1718409600000,143.04000000,145.78000000,142.92000000,145.52000000,1346924.92200000,194646238.58695000,304623,697042.50600000,100741361.78585000
1718496000000,145.52000000,151.35000000,143.08000000,151.30000000,1405879.42700000,206570978.08947000,299425,732084.22600000,107640393.52705000
1718582400000,151.30000000,151.79000000,139.85000000,143.27000000,3412959.81200000,494336447.73763000,637261,1676851.33900000,242735749.83915000
1718668800000,143.28000000,143.82000000,127.95000000,137.41000000,6557976.71000000,888291180.97423000,1134962,3200591.39600000,433492635.76737000
1718755200000,137.41000000,141.90000000,134.47000000,135.62000000,3536777.46800000,488039592.77287000,614546,1772962.62500000,244574480.44278000
1718841600000,135.62000000,141.29000000,131.90000000,133.55000000,3507680.50800000,475840535.65983000,659932,1751535.47400000,237617240.99995000
1718928000000,133.55000000,135.38000000,128.76000000,134.60000000,3230074.02700000,426673566.80230000,631539,1664726.75500000,219970218.34920000
1719014400000,134.61000000,136.74000000,133.00000000,133.69000000,1399215.89100000,188365519.28270000,334153,658312.92800000,88649791.60643000
1719100800000,133.70000000,135.09000000,128.22000000,128.69000000,1492401.23100000,197001384.22396000,361092,721333.09600000,95160612.41686000
1719187200000,128.68000000,132.66000000,122.00000000,132.33000000,5583497.77700000,709427098.28488000,1013696,2739795.01600000,348243335.54148000
1719273600000,132.34000000,139.90000000,131.20000000,136.58000000,3963661.70400000,541175887.65102000,777729,1958903.11600000,267394209.33806000
1719360000000,136.57000000,140.41000000,134.85000000,136.81000000,2503428.06600000,343612682.12807000,454579,1272673.32400000,174703489.18568000
1719446400000,136.81000000,151.21000000,135.20000000,149.71000000,4450967.43600000,646251166.23058000,762694,2301440.91600000,334049218.75222000
1719532800000,149.71000000,150.84000000,139.01000000,140.03000000,3339031.26700000,481073901.27222000,646751,1615427.12400000,232727750.04398000
1719619200000,140.03000000,143.26000000,139.67000000,140.28000000,1468985.54300000,208157309.84296000,286106,787515.28800000,111612957.32782000
