ts,open,high,low,close,volume,quote_vol,trades,tbv,tbqv
1713312000000,136.21000000,138.24000000,135.41000000,137.38000000,229829.61000000,31395937.07740000,42164,128903.43000000,17619414.98780000
1713315600000,137.37000000,137.79000000,134.88000000,137.04000000,212458.30000000,28945568.42510000,35331,111153.45000000,15146162.00980000
1713319200000,137.05000000,137.46000000,135.21000000,136.90000000,227447.49000000,31011285.72770000,41529,100524.78000000,13709150.74820000
1713322800000,136.90000000,137.70000000,136.36000000,137.41000000,133889.08000000,18352851.18850000,25675,64008.25000000,8775423.57040000
1713326400000,137.41000000,142.77000000,136.67000000,141.46000000,606111.46000000,85307880.65470000,85095,331517.58000000,46621829.51790000
1713330000000,141.46000000,142.14000000,139.09000000,139.48000000,639974.39000000,90080011.73260000,88479,333856.73000000,46998584.86790000
1713333600000,139.47000000,141.50000000,138.48000000,140.41000000,313723.99000000,43837222.07470000,56974,163477.42000000,22856224.05330000
1713337200000,140.42000000,140.76000000,138.27000000,139.46000000,290807.50000000,40616719.62380000,51477,145019.72000000,20258755.87940000
1713340800000,139.46000000,140.25000000,137.82000000,138.74000000,205031.47000000,28479772.79090000,38979,97441.17000000,13535498.36550000
1713344400000,138.74000000,139.82000000,138.26000000,139.05000000,145249.47000000,20198358.36730000,24268,78962.08000000,10982401.35170000
1713348000000,139.06000000,139.11000000,136.21000000,136.61000000,226194.56000000,31097126.96000000,48120,99603.17000000,13699477.44250000
1713351600000,136.62000000,137.47000000,134.00000000,134.29000000,332727.57000000,45159933.01990000,54941,142280.75000000,19327545.47240000
1713355200000,134.28000000,135.00000000,130.68000000,132.16000000,781640.97000000,103402599.01270000,108117,396373.71000000,52328879.94650000
1713358800000,132.16000000,135.15000000,131.64000000,133.72000000,417260.46000000,55654500.63660000,59090,220732.96000000,29445514.37970000
1713362400000,133.72000000,133.79000000,128.50000000,131.56000000,828578.87000000,108423618.20720000,118563,389930.47000000,51039367.20880000
1713366000000,131.57000000,132.00000000,127.59000000,128.71000000,792204.41000000,102524105.22930000,122236,388930.49000000,50341167.60830000
1713369600000,128.72000000,131.51000000,126.87000000,128.29000000,668512.24000000,86468685.42160000,108400,319306.17000000,41320343.10960000
1713373200000,128.30000000,132.89000000,128.07000000,132.53000000,369607.79000000,48242991.89040000,61317,210025.44000000,27433102.34580000
1713376800000,132.54000000,137.91000000,131.88000000,135.60000000,629945.95000000,85422947.87990000,95847,344256.15000000,46675273.19210000
1713380400000,135.60000000,135.83000000,132.70000000,134.62000000,398762.42000000,53490832.68970000,59661,189482.24000000,25438969.77500000
1713384000000,134.62000000,136.48000000,132.91000000,133.39000000,285041.72000000,38461018.54340000,45975,147864.16000000,19964811.11790000
1713387600000,133.39000000,138.00000000,133.39000000,135.15000000,347979.47000000,47317843.21040000,52014,172976.99000000,23517739.54080000
1713391200000,135.16000000,135.57000000,133.81000000,134.58000000,237570.95000000,32001523.55090000,35742,117715.83000000,15857537.71770000
1713394800000,134.58000000,135.21000000,131.61000000,131.84000000,238935.13000000,31771179.16530000,38651,109850.37000000,14609436.65950000
1713398400000,131.84000000,133.01000000,129.65000000,132.25000000,333203.64000000,43677251.32840000,51359,158516.52000000,20793033.78590000
1713402000000,132.26000000,133.74000000,131.74000000,133.46000000,258827.94000000,34379281.93460000,45581,134261.97000000,17835650.97280000
1713405600000,133.45000000,134.82000000,132.00000000,134.07000000,239565.81000000,31936498.97650000,41449,127175.65000000,16960309.78760000
1713409200000,134.06000000,136.65000000,134.00000000,135.58000000,287189.17000000,38957430.90970000,44791,154704.05000000,20984179.44750000
1713412800000,135.57000000,136.83000000,134.23000000,134.32000000,184940.73000000,25093927.79360000,30179,84722.20000000,11498622.54590000
1713416400000,134.32000000,136.18000000,132.77000000,133.11000000,404253.89000000,54376734.60120000,53402,207277.07000000,27890988.62090000
1713420000000,133.12000000,133.37000000,129.79000000,131.09000000,340031.24000000,44672799.28810000,51400,137290.29000000,18039582.30530000
1713423600000,131.09000000,131.82000000,128.96000000,129.43000000,280148.94000000,36488591.48220000,45021,130732.40000000,17037839.88690000
1713427200000,129.44000000,131.18000000,127.62000000,130.14000000,366535.55000000,47429839.63650000,62122,178644.14000000,23128249.13900000
1713430800000,130.15000000,131.63000000,129.52000000,130.96000000,204212.23000000,26680708.39260000,34535,104449.78000000,13650173.68440000
1713434400000,130.96000000,133.94000000,130.51000000,133.19000000,374969.74000000,49570500.13310000,47059,191051.16000000,25261609.05500000
1713438000000,133.19000000,137.00000000,133.19000000,135.81000000,566860.26000000,76889940.98010000,75912,314247.19000000,42598488.77580000
