strategy,symbol,timeframe,params,return_pct,sharpe,sortino,max_dd_pct,calmar,trades,win_rate
grid_trend_bias,ETHUSDT,4h,"{'bb_period': 20, 'bb_std': 2.0, 'ema_period': 100, 'leverage': 1}",164.01834560219277,1.6151120731579398,0.7552833685557865,-18.758670395345156,(1.8225372416554337+0j),69.0,79.71014492753623
momentum_ranking,BNBUSDT,1d,"{'roc_period': 90, 'lookback': 120, 'upper_threshold': 70, 'lower_threshold': 30, 'leverage': 1}",632.4077899588309,1.534725586073974,2.1170792122316606,-33.05856249671075,(2.5041549914173276+0j),8.0,87.5
momentum_ranking,ETHUSDT,1d,"{'roc_period': 60, 'lookback': 240, 'upper_threshold': 70, 'lower_threshold': 30, 'leverage': 1}",584.8921168134044,1.4830214550391871,1.822020313623553,-46.56003852958806,(1.6990428075345383+0j),10.0,90.0
tail_risk_hedge,BNBUSDT,1d,"{'consec_up_threshold': 10, 'consec_down_threshold': 5, 'exit_bars': 15, 'leverage': 1}",135.13585038315395,1.426982135487855,1.0687765019732256,-15.505966658812264,(1.9064251675753405+0j),12.0,83.33333333333334
grid_trend_bias,BTCUSDT,4h,"{'bb_period': 30, 'bb_std': 3.0, 'ema_period': 200, 'leverage': 1}",35.17883150829152,1.3270138538867502,0.37830542821484736,-7.421820611459118,(1.2881213705101129+0j),16.0,75.0
tail_risk_hedge,SOLUSDT,1d,"{'consec_up_threshold': 10, 'consec_down_threshold': 3, 'exit_bars': 10, 'leverage': 1}",472.30316956215705,1.2430728004134175,1.5011655735492584,-39.26252370150615,(1.7733051888978637+0j),59.0,62.71186440677966
tail_risk_hedge,BTCUSDT,1d,"{'consec_up_threshold': 10, 'consec_down_threshold': 5, 'exit_bars': 10, 'leverage': 1}",94.97052976559269,1.2405187453091409,0.8386016846843258,-12.748148314017715,(1.7582567228021944+0j),12.0,50.0
momentum_ranking,SOLUSDT,1d,"{'roc_period': 20, 'lookback': 240, 'upper_threshold': 70, 'lower_threshold': 30, 'leverage': 1}",601.6484723910961,1.2266149856228175,1.7016795490326733,-47.66313101433707,(1.6873347680521613+0j),34.0,41.17647058823529
grid_trend_bias,SOLUSDT,4h,"{'bb_period': 15, 'bb_std': 2.0, 'ema_period': 100, 'leverage': 1}",224.60652943419353,1.2237708846506015,0.6654757954807183,-31.429026165396845,(1.3635170540619497+0j),96.0,72.91666666666666
dual_channel_breakout,ETHUSDT,4h,"{'dc_period': 30, 'kc_ema': 15, 'kc_atr': 14, 'kc_mult': 2.0, 'adx_period': 14, 'adx_threshold': 20, 'leverage': 1}",223.06431747549152,1.203165643590772,0.9148640614152965,-28.383506034046913,(1.5025659539450684+0j),100.0,46.0
trend_donchian_adx_slope,ETHUSDT,4h,"{'entry_period': 20, 'exit_period': 5, 'adx_slope_bars': 5, 'adx_slope_min': 0.2, 'leverage': 1}",225.1742321890566,1.1724329026920173,0.9474122456896943,-32.178577263186114,(1.3341063342552226+0j),109.0,42.201834862385326
grid_trend_bias,XRPUSDT,4h,"{'bb_period': 15, 'bb_std': 2.0, 'ema_period': 50, 'leverage': 1}",77.50157786639954,1.1172020935003164,0.3040012201063445,-23.919556326855872,(0.7936135241183201+0j),37.0,72.97297297297297
trend_donchian_adx_slope,XRPUSDT,4h,"{'entry_period': 15, 'exit_period': 10, 'adx_slope_bars': 7, 'adx_slope_min': 0.2, 'leverage': 1}",362.39000970912616,1.0786628502251077,1.102712661579673,-48.355752199472455,(1.220403619784343+0j),97.0,39.175257731958766
trend_donchian_mtf,XRPUSDT,4h,"{'entry_period': 10, 'exit_period': 5, 'adx_threshold': 15, 'htf_period': 100, 'leverage': 1}",114.8098836267728,1.059221689319694,0.26229581953989817,-21.112656501306503,(1.2343781023018872+0j),5.0,80.0
breakout_squeeze,XRPUSDT,4h,"{'bb_period': 20, 'bb_std': 2.5, 'kc_ema_period': 10, 'kc_atr_period': 7, 'kc_mult': 2.0, 'leverage': 1}",249.62988978521844,1.0544436368583472,0.7803931263987581,-40.77468977067286,(1.130696527422404+0j),68.0,32.35294117647059
trend_donchian_adx_slope,BTCUSDT,4h,"{'entry_period': 30, 'exit_period': 7, 'adx_slope_bars': 3, 'adx_slope_min': 0.2, 'leverage': 1}",143.4851551492038,1.0515353706109996,0.907329117648206,-31.057595459421794,(0.9961354283629396+0j),110.0,43.63636363636363
breakout_squeeze,SOLUSDT,4h,"{'bb_period': 30, 'bb_std': 2.0, 'kc_ema_period': 10, 'kc_atr_period': 7, 'kc_mult': 1.5, 'leverage': 1}",109.36813962292054,1.0427284058449473,0.40198243040522263,-13.984952270431517,(1.793714711528787+0j),20.0,60.0
tail_risk_hedge,XRPUSDT,1d,"{'consec_up_threshold': 10, 'consec_down_threshold': 3, 'exit_bars': 10, 'leverage': 1}",375.52785206084775,1.034995054972323,1.5082722382842564,-30.197782095685575,(1.999111371866847+0j),54.0,48.148148148148145
trend_donchian_mtf,BTCUSDT,4h,"{'entry_period': 10, 'exit_period': 10, 'adx_threshold': 15, 'htf_period': 150, 'leverage': 1}",44.572472035831005,1.0315112884308029,0.27201614083351594,-10.836493965345905,(1.0900737900655253+0j),7.0,71.42857142857143
trend_donchian_mtf,BNBUSDT,4h,"{'entry_period': 10, 'exit_period': 7, 'adx_threshold': 15, 'htf_period': 150, 'leverage': 1}",62.47473278561978,1.0082856804816458,0.3988752209146004,-16.581981784363276,(0.9550838960703187+0j),10.0,70.0
momentum_ranking,XRPUSDT,1d,"{'roc_period': 60, 'lookback': 180, 'upper_threshold': 70, 'lower_threshold': 30, 'leverage': 1}",296.3112166492055,0.9897011982402212,1.1309425543360372,-53.140941463282076,(0.9739519684151591+0j),19.0,57.89473684210527
momentum_ranking,BTCUSDT,1d,"{'roc_period': 30, 'lookback': 120, 'upper_threshold': 70, 'lower_threshold': 30, 'leverage': 1}",160.295337326651,0.9367041654296726,1.2480784057644874,-48.3759955818943,(0.6948150411180619+0j),32.0,34.375
dual_channel_breakout,SOLUSDT,4h,"{'dc_period': 20, 'kc_ema': 10, 'kc_atr': 14, 'kc_mult': 2.0, 'adx_period': 14, 'adx_threshold': 15, 'leverage': 1}",168.36208589229108,0.927546113457521,0.5967627068805589,-34.6191873742078,(1.0067626657008946+0j),88.0,52.27272727272727
breakout_squeeze,ETHUSDT,4h,"{'bb_period': 30, 'bb_std': 2.0, 'kc_ema_period': 10, 'kc_atr_period': 7, 'kc_mult': 1.5, 'leverage': 1}",46.57575628507642,0.878356029806774,0.3586086732915879,-16.66437659562966,(0.7368791816886262+0j),18.0,55.55555555555556
grid_trend_bias,BNBUSDT,4h,"{'bb_period': 30, 'bb_std': 2.0, 'ema_period': 200, 'leverage': 1}",73.57633929411527,0.856097763957836,0.4476775097971237,-28.562485277800974,(0.6364876819362071+0j),57.0,68.42105263157895
dual_channel_breakout,BTCUSDT,4h,"{'dc_period': 40, 'kc_ema': 15, 'kc_atr': 10, 'kc_mult': 2.5, 'adx_period': 14, 'adx_threshold': 25, 'leverage': 1}",62.454891822288836,0.8126241347400046,0.411769324117239,-32.15123287695639,(0.49245075122457704+0j),50.0,44.0
breakout_squeeze,BTCUSDT,4h,"{'bb_period': 30, 'bb_std': 3.0, 'kc_ema_period': 10, 'kc_atr_period': 7, 'kc_mult': 2.0, 'leverage': 1}",27.855146561569672,0.7931519447844062,0.2825065402917217,-16.749933677889338,(0.4613281215436122+0j),16.0,43.75
dual_channel_breakout,BNBUSDT,4h,"{'dc_period': 30, 'kc_ema': 20, 'kc_atr': 10, 'kc_mult': 2.0, 'adx_period': 14, 'adx_threshold': 25, 'leverage': 1}",86.44736870157662,0.7885182217504633,0.6183247578438498,-38.72790078479248,(0.5362603281066884+0j),73.0,45.20547945205479
dual_channel_breakout,XRPUSDT,4h,"{'dc_period': 30, 'kc_ema': 15, 'kc_atr': 14, 'kc_mult': 1.5, 'adx_period': 14, 'adx_threshold': 20, 'leverage': 1}",93.45235481063526,0.6320329305572884,0.5348579112063604,-52.57383643589667,(0.4208367145167157+0j),124.0,37.096774193548384
