timestamp,trend_donchian_mtf_btc,trend_donchian_adx_slope_eth,trend_donchian_adx_slope_btc,trend_donchian_mtf_xrp,trend_donchian_mtf_bnb,momentum_ranking_eth,momentum_ranking_bnb,momentum_ranking_sol,grid_trend_bias_xrp,tail_risk_hedge_bnb,tail_risk_hedge_sol,grid_trend_bias_btc,grid_trend_bias_sol,tail_risk_hedge_btc,grid_trend_bias_eth,breakout_squeeze_btc
2023-01-01,24.0,15.0,12.0,6.0,3.0,18.0,12.0,4.5,9.0,7.5,6.0,6.0,4.5,4.5,13.5,4.5
2023-01-02,24.0,15.0,12.0,6.0,3.0,18.0,12.0,4.5,9.0,7.5,6.0,6.0,4.5,4.5,13.5,4.5
2023-01-03,24.0,15.0,12.0,6.0,3.0,18.0,12.0,4.5,9.0,7.5,6.0,6.0,4.5,4.5,13.5,4.5
2023-01-04,24.0,15.0,12.0,6.0,3.0,18.0,12.0,4.5,9.0,7.5,6.0,6.0,4.5,4.5,13.5,4.5
2023-01-05,24.0,15.0,12.0,6.0,3.0,18.0,12.0,4.5,9.0,7.5,6.0,6.0,4.5,4.5,13.5,4.5
2023-01-06,24.0,15.0,12.0,6.0,3.0,18.0,12.0,4.5,9.0,7.5,6.0,6.0,4.5,4.5,13.5,4.5
2023-01-07,24.0,15.0,12.0,6.0,3.0,18.0,12.0,4.5,9.0,7.5,6.0,6.0,4.5,4.5,13.5,4.5
2023-01-08,24.0,15.0,11.992804317409554,6.0,3.0,18.0,12.0,4.5,9.0,7.5,6.0,6.0,4.5,4.5,13.5,4.5
2023-01-09,24.0,15.10563704589582,12.028115102355862,6.0,3.0,18.0,12.0,4.5,9.0,7.5,6.0,6.0,4.5,4.5,13.5,4.5
2023-01-10,24.0,15.279872576465568,12.21184601589764,6.0,3.0,18.0,12.0,4.5,9.0,7.5,6.0,6.0,4.5,4.5,13.5,4.5
2023-01-11,24.0,15.126872227129622,12.563763535509292,6.0,3.0,18.0,12.0,4.5,9.0,7.5,6.0,6.0,4.771687798482494,4.5,13.5,4.5
2023-01-12,24.0,15.012411853406505,13.196290814690315,6.0,3.0,18.0,12.0,4.5,9.0,7.5,6.0,6.0,4.771687798482494,4.5,13.5,4.5
2023-01-13,24.0,15.38647104473665,13.95487402514011,6.0,3.0,18.0,12.0,4.5,9.0,7.5,6.0,6.0,4.771687798482494,4.5,13.5,4.5
2023-01-14,24.0,16.432946163338848,14.672509888699956,6.0,3.0,18.0,12.0,4.5,9.0,7.5,6.0,6.0,4.771687798482494,4.5,13.5,4.5
2023-01-15,24.0,16.460724935484112,14.614099702695174,6.0,3.0,18.0,12.0,4.5,9.0,7.5,6.0,6.0,4.771687798482494,4.5,13.5,4.5
2023-01-16,24.0,16.719640056013652,14.834065657303213,6.0,3.0,18.0,12.0,4.5,9.0,7.5,6.0,6.0,4.771687798482494,4.5,13.5,4.5
2023-01-17,24.0,16.599088666971028,14.798467792804495,6.0,3.0,18.0,12.0,4.5,9.0,7.5,6.0,6.0,4.771687798482494,4.5,13.5,4.5
2023-01-18,24.0,16.421496962155235,14.478241055002679,6.0,3.0,18.0,12.0,4.5,9.0,7.5,6.0,6.0,4.54997260159054,4.5,13.49190485708575,4.5
2023-01-19,24.0,16.421496962155235,14.754201526211082,6.0,3.0,18.0,12.0,4.5,9.0,7.5,6.0,6.0,4.683473481194688,4.5,13.84593312609723,4.5
2023-01-20,24.0,16.421496962155235,15.87144512478399,6.0,3.0,18.0,12.0,4.5,9.0,7.5,6.0,6.0,5.094049089654116,4.5,13.95003302299996,4.5
2023-01-21,24.0,16.421496962155235,15.952905698265129,6.0,3.0,18.0,12.0,4.5,9.0,7.5,6.0,6.0,5.094049089654116,4.5,13.95003302299996,4.5
2023-01-22,24.0,16.421496962155235,15.899922015994907,6.0,3.0,18.0,12.0,4.5,9.0,7.5,6.0,6.0,5.094049089654116,4.5,13.95003302299996,4.5
2023-01-23,24.0,16.421496962155235,16.04596148488747,6.0,3.0,18.0,12.0,4.5,9.0,7.5,6.0,6.0,5.094049089654116,4.5,13.95003302299996,4.5
2023-01-24,24.0,16.411649972171933,15.837906016985865,6.0,3.0,18.0,12.0,4.5,9.0,7.5,6.0,6.0,5.090994492958342,4.5,13.94166802218665,4.5
2023-01-25,24.0,15.811103171156393,15.837906016985865,6.0,3.0,18.0,12.0,4.5,9.0,7.5,6.0,6.0,5.476570950674193,4.5,14.434499683331001,4.5
2023-01-26,24.0,15.811103171156393,15.837906016985865,6.0,3.0,18.0,12.0,4.5,9.0,7.5,6.0,6.0,5.476570950674193,4.5,14.434499683331001,4.5
2023-01-27,24.0,15.811103171156393,15.837906016985865,6.0,3.0,18.0,12.0,4.5,9.0,7.5,6.0,6.0,5.476570950674193,4.5,14.434499683331001,4.5
2023-01-28,24.0,15.811103171156393,15.837906016985865,6.0,3.0,18.0,12.0,4.5,9.0,7.5,6.0,6.0,5.476570950674193,4.5,14.434499683331001,4.5
2023-01-29,24.0,15.811103171156393,15.725389170171345,6.0,3.0,18.0,12.0,4.5,9.0,7.5,6.0,6.0,5.476570950674193,4.5,14.434499683331001,4.5
2023-01-30,24.0,15.811103171156393,15.275877042024842,6.0,3.0,18.0,12.0,4.5,9.0,7.5,6.0,6.0,5.476570950674193,4.5,14.434499683331001,4.5
2023-01-31,24.0,15.811103171156393,15.275877042024842,6.0,3.0,18.0,12.0,4.5,9.0,7.5,6.0,6.0,5.476570950674193,4.5,14.434499683331001,4.5
2023-02-01,24.0,15.811103171156393,15.275877042024842,6.0,3.0,18.0,12.0,4.5,9.0,7.5,6.0,6.0,5.476570950674193,4.5,14.434499683331001,4.5
2023-02-02,24.0,15.811103171156393,15.275877042024842,6.0,3.0,18.0,12.0,4.5,9.0,7.5,6.0,6.0,5.476570950674193,4.5,14.434499683331001,4.5
2023-02-03,24.0,15.811103171156393,15.275877042024842,6.0,3.0,18.0,12.0,4.5,9.0,7.5,6.0,6.0,5.476570950674193,4.5,14.434499683331001,4.5
2023-02-04,24.0,15.811103171156393,15.275877042024842,6.0,3.0,18.0,12.0,4.5,9.0,7.5,6.0,6.0,5.476570950674193,4.5,14.434499683331001,4.5
2023-02-05,24.0,15.811103171156393,15.275877042024842,6.0,3.0,18.0,12.0,4.5,9.0,7.5,6.0,6.0,5.433927469758555,4.5,14.510823647671668,4.5
2023-02-06,24.0,15.811103171156393,15.275877042024842,6.0,3.0,18.0,12.0,4.5,9.0,7.5,5.996402158704777,6.0,5.246390986993134,4.497301619028583,14.379613206835948,4.5
2023-02-07,24.0,15.811103171156393,15.275877042024842,6.0,3.0,18.0,12.0,4.5,9.0,7.5,6.309534358907517,6.0,5.511652775383511,4.591446215859775,14.74541856279952,4.5
2023-02-08,24.0,15.811103171156393,15.275877042024842,6.0,3.0,18.0,12.0,4.5,9.0,7.5,6.148729582661271,6.0,5.511652775383511,4.536469249364314,14.74541856279952,4.5
2023-02-09,24.0,15.80162219783769,15.430493561906836,6.0,3.0,18.0,12.0,4.5,9.0,7.5,5.4260352999598505,5.932074637749277,5.511652775383511,4.306739833293238,14.74541856279952,4.5
2023-02-10,24.0,16.13179619128136,15.54909228552017,6.0,3.0,18.0,12.0,4.5,9.0,7.5,5.321657899892271,5.885491889032305,5.511652775383511,4.272196433784228,14.74541856279952,4.5
2023-02-11,24.0,15.862124041156454,15.375533537262278,6.0,3.0,18.0,12.0,4.5,9.0,7.5,5.505510477676283,5.950091569071218,5.511652775383511,4.318181840338842,14.74541856279952,4.5
2023-02-12,24.0,15.862124041156454,15.375533537262278,6.0,3.0,18.0,12.0,4.5,9.0,7.5,5.691217476273678,5.928588279890756,5.492925421133026,4.302332980838713,14.74541856279952,4.5
2023-02-13,24.0,15.648117005006373,15.375533537262278,6.0,3.0,18.0,12.0,4.5,9.0,7.5,5.496503290868421,5.925983717462493,5.757092208360964,4.3013646589989305,14.74541856279952,4.5
2023-02-14,24.0,15.21590406575768,15.375533537262278,6.0,3.0,18.0,12.0,4.5,9.0,7.5,5.784733268720013,5.932176456272609,5.757092208360964,4.384600813879908,14.74541856279952,4.5
2023-02-15,24.0,15.21590406575768,16.028671332982107,6.0,3.0,18.0,12.0,4.5,9.0,7.5,6.321455635564982,5.932176456272609,5.757092208360964,4.808528163003067,14.74541856279952,4.5
2023-02-16,24.0,14.716231798133359,15.497328955543999,6.0,3.0,18.0,12.0,4.5,9.0,7.5,5.892725676721204,5.932176456272609,5.757092208360964,4.646459551733072,14.74541856279952,4.5
2023-02-17,24.0,14.716231798133359,16.190723740134988,6.0,3.0,18.0,12.0,4.5,9.0,7.5,5.892725676721204,5.932176456272609,5.757092208360964,4.646459551733072,14.74541856279952,4.5
2023-02-18,24.0,14.716231798133359,16.231566323883097,6.0,3.0,18.0,12.0,4.5,9.0,7.5,5.892725676721204,5.932176456272609,5.757092208360964,4.646459551733072,14.74541856279952,4.5
