config,sharpe,ann_return%,total_return%,max_dd%,calmar,sortino,initial,final,trades,entries_removed
baseline,2.437,44.5,236.8,-9.1,4.87,3.625,150.0,505.1,708.0,0
3D_only_loss3,2.413,43.6,229.9,-9.4,4.61,3.56,150.0,494.9,700.0,16
3D_only_loss4,2.453,44.6,238.2,-8.9,5.0,3.638,150.0,507.3,705.0,19
3D_only_loss5,2.445,44.5,237.0,-9.1,4.87,3.631,150.0,505.5,704.0,13
3E_only_hold90,2.386,43.9,232.6,-9.1,4.85,3.525,150.0,499.0,710.0,0
3E_only_hold120,2.441,44.6,237.9,-9.1,4.88,3.627,150.0,506.8,708.0,0
3E_only_hold180,2.46,45.1,242.1,-9.1,4.94,3.665,150.0,513.1,708.0,0
3A_dd15,1.342,7.7,27.9,-7.0,1.11,1.397,150.0,191.9,292.0,1439
3A_dd12,1.462,7.6,27.4,-4.2,1.8,1.479,150.0,191.1,240.0,1576
combo_conservative,1.342,7.7,27.9,-7.0,1.11,1.397,150.0,191.9,292.0,1439
combo_moderate,1.855,14.6,56.9,-9.6,1.53,2.172,150.0,235.3,354.0,1152
combo_aggressive,2.459,45.0,241.2,-9.1,4.93,3.655,150.0,511.9,705.0,12
