strategy,symbol,timeframe,total_return,annual_return,sharpe_ratio,max_drawdown,calmar_ratio,win_rate,total_trades,profit_factor,final_value
breakout_squeeze,BTCUSDT,4h,17.012750746020174,8.17243213777723,0.44127145987913524,-19.72478763122586,0.4143229468711562,42.22222222222222,45.0,1.1935114989495792,11701.275074602014
correlation_pruner,BTCUSDT,4h,-10.003478344648093,-5.133503461257782,0.15898057518237013,-50.17874557982456,-0.10230434025281449,36.36363636363637,110.0,0.9602758661531015,8999.652165535193
drawdown_throttle,BTCUSDT,4h,-1.42733686142652,-0.7162333820007194,0.24943441136147781,-49.857231015007756,-0.01436568713142378,36.607142857142854,112.0,0.9942208468983527,9857.266313857353
ensemble_vote,BTCUSDT,4h,-40.12040234344954,-22.618091483506,-0.28595300847542815,-51.92820325759937,-0.4355646847880488,33.20754716981132,265.0,0.8871473280577883,5987.959765655054
funding_arb,BTCUSDT,8h,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0
funding_arb_relaxed,BTCUSDT,8h,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0
gap_fade,BTCUSDT,1d,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0
grid_atr_adaptive,BTCUSDT,4h,-78.65991548705259,-53.80467067662856,-0.6107234652042262,-92.8738404277809,-0.5793307397303905,75.0,120.0,0.7656566123172232,2134.0084512947237
grid_bollinger,BTCUSDT,4h,-70.85990353683258,-46.01843234661721,-0.9344942666305279,-83.19544772223509,-0.5531364228035541,60.86956521739131,161.0,0.7155177474515271,2914.0096463167465
grid_funding_aware,BTCUSDT,4h,-46.78477820029688,-27.051235925683336,-1.015458092072454,-59.649148671956276,-0.4535058173998941,58.97435897435898,39.0,0.5322899424336119,5321.522179970312
grid_futures,BTCUSDT,4h,2.5051288906001354,1.2448166034193298,0.25584080393630354,-43.976208310077915,0.028306592388367833,67.44186046511628,86.0,1.0098155295172824,10250.512889060006
grid_hedged,BTCUSDT,4h,-69.81248746038598,-45.05683614896753,-0.9084517001508224,-85.26973434672753,-0.5284036181672086,65.78947368421053,114.0,0.7831460443141882,3018.751253961416
grid_ranging_only,BTCUSDT,4h,-58.3256648552002,-35.444337858868025,-1.2364371490635695,-60.73894178542956,-0.5835521136354509,49.586776859504134,121.0,0.6131385100281634,4167.433514479983
grid_stopout,BTCUSDT,4h,-52.7385021406527,-31.253001622363684,-0.6222515638411108,-71.13522926488571,-0.43934632593910844,60.416666666666664,144.0,0.7784073618874108,4726.149785934725
grid_trend_bias,BTCUSDT,4h,13.583639332098175,6.575625417868491,0.3638784513004574,-40.55580907811025,0.16213769537192257,69.49152542372882,59.0,1.117919334622201,11358.363933209806
heikin_ashi_trend,BTCUSDT,4h,-5.52531939856699,-2.8019132896984322,0.12328598457800179,-47.213804600483,-0.05934521298183558,35.523114355231144,411.0,0.9832721446263198,9447.468060143297
ichimoku_cloud,BTCUSDT,4h,6.405719936759051,3.1531482489793206,0.32841074437265955,-50.25095797314187,0.06274802264793868,23.89937106918239,159.0,1.0201582010949457,10640.571993675914
kelly_sizer,BTCUSDT,4h,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0
long_horizon_eth,BTCUSDT,1d,-49.45954755893141,-28.908191441581266,-0.7542901737203853,-57.54226510316502,-0.5023818820783823,16.666666666666664,6.0,0.008330836327121307,5054.045244106862
long_horizon_sol,BTCUSDT,1d,-48.438198854030716,-28.193453539409596,-0.8972911160196323,-57.87630897689876,-0.4871328880123121,14.285714285714285,7.0,0.008675385667787751,5156.180114596928
macd_trend,BTCUSDT,4h,22.929659550894847,10.873648605471109,0.4557845861389274,-36.83099269767048,0.29523094027706875,35.714285714285715,182.0,1.075620886313821,12292.965955089487
mean_reversion_bb,BTCUSDT,1h,-19.196017288971262,-10.108964456388236,-0.4294701240341298,-35.817885581129175,-0.2822323063568608,49.2063492063492,189.0,0.8762819514310761,8080.398271102864
momentum_ranking,BTCUSDT,1d,-82.471083309157,-58.13245088276244,-1.4386780311321143,-88.0934807753555,-0.6598950384422229,29.411764705882355,34.0,0.3131025954269606,1752.8916690843025
momentum_roc,BTCUSDT,4h,-27.097606341226165,-14.617101443688485,-0.03519626474151951,-68.14241099733881,-0.21450813421114978,30.87248322147651,149.0,0.87186719364117,7290.23936587737
mr_kalman,BTCUSDT,1h,-40.48332621400296,-22.852949644204124,-0.5765075066779101,-54.79109864644407,-0.4170923783016217,63.038548752834465,441.0,0.8823538482279141,5951.667378599715
mrbb_atr_stop,BTCUSDT,1h,-2.1636039736112798,-1.0877176350738926,-0.7579352491272116,-2.35474403433521,-0.4619260604182724,0.0,2.0,0.0,9783.639602638874
mrbb_dual,BTCUSDT,1h,-79.04524571714319,-54.2236367948951,-1.3307298109673313,-83.87535810980546,-0.6464787515292418,63.84615384615384,650.0,0.7707738142806219,2095.4754282856925
mrbb_middle_exit,BTCUSDT,1h,-29.435091993539935,-15.997078618383709,-0.698283559043282,-46.78903507510549,-0.3418980236011555,54.88721804511278,266.0,0.8096816977280988,7056.49080064601
mrbb_partial_tp,BTCUSDT,1h,-83.6338094219448,-59.54485128187612,-0.9985002011839841,-87.55835996934707,-0.6800590063898173,60.099750623441395,401.0,0.7839255472934821,1636.6190578055118
mrbb_regime,BTCUSDT,1h,-58.47243245441437,-35.558113353513896,-1.9009282047937635,-66.24482481178279,-0.5367681695067185,50.505050505050505,99.0,0.42308577746936493,4152.75675455857
