variant,month,days,gross_profit,commission,net_profit,winning_days,losing_days,flat_days,halted_days,daily_resets,maker_fee,taker_fee,grid_pnl,trend_pnl,ending_equity
baseline_grid,2025-04,1,-1.7474,1.7288,-3.4762,0,1,0,0,10,1.728804,0.0,-2.7745,0.0,146.5238
baseline_grid,2025-05,31,169.95910000000003,59.605199999999996,110.35390000000001,23,8,0,0,303,54.89976100000001,4.177403,129.59569999999997,0.0,256.8777
baseline_grid,2025-06,30,155.5193,88.17830000000001,67.34100000000002,20,10,0,0,277,76.89821300000001,10.119001,93.51370000000001,0.0,324.2187
baseline_grid,2025-07,31,207.7642,116.97419999999998,90.79000000000003,20,11,0,0,281,106.719171,9.262671,129.16570000000002,0.0,415.0087
baseline_grid,2025-08,31,337.7709000000001,135.3011,202.46979999999994,20,11,0,1,267,121.269618,12.520854999999997,244.9462,0.0,617.4785
baseline_grid,2025-09,30,276.70109999999994,197.37699999999998,79.32410000000002,17,13,0,0,265,182.45578499999996,13.519240000000002,141.5258,0.0,696.8026
baseline_grid,2025-10,31,576.2975,251.34459999999996,324.95290000000006,24,7,0,2,277,226.155334,22.438382,399.7201,0.0,1021.7555
baseline_grid,2025-11,30,83.7319,376.4293,-292.6974,15,15,0,1,277,313.5564509999999,54.702732,-172.1339,0.0,729.0581
baseline_grid,2025-12,31,1090.7299,407.25260000000003,683.4772999999998,20,11,0,0,259,375.487821,28.425135999999995,818.3001,0.0,1412.5354
baseline_grid,2026-01,31,952.9154999999998,443.27639999999997,509.63910000000004,21,10,0,0,242,427.36800799999986,14.563922999999999,648.7482000000002,0.0,1922.1745
baseline_grid,2026-02,28,2520.9224999999997,478.431,2042.4914999999999,19,9,0,0,223,417.5557490000001,51.210936000000004,2192.8017999999997,0.0,3964.666
baseline_grid,2026-03,31,815.6040999999998,706.4892,109.11489999999986,22,9,0,1,241,648.2534949999998,51.530876000000006,342.1785000000001,0.0,4073.7809
baseline_grid,2026-04,30,2668.7912,788.7663,1880.0249000000003,21,9,0,0,210,769.3931999999999,16.927501,2160.65,0.0,5953.8058
